id,deutscher_name,botanischer_name,botanische_familie,hauptkategorie,weitere_kategorien,synonyme,quelle_botanik,geschmacksintensitaet,frische,suesse,saeure,bitterkeit,schaerfe,umami,zitronig,anisartig,menthol,harzig,erdig,blumig,pfeffrig,knoblauchartig,typische_verwendung,licht,bodenfeuchte,bodenanspruch,wasserbedarf,naehrstoffbedarf,hoehe,lebensdauer,standort_eignung,anbau_typ,slug,bild_dateiname,beschreibungstext,schwierigkeitsgrad,essbarkeit,giftige_teile,warnung
KR000001,Petersilie,Petroselinum crispum,Apiaceae,Küchenkraut,,Peterle,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,4,1,0,1,0,0,0,0,0,0,1,0,1,0,Kräuterquark; Petersilienkartoffeln; Suppen; Saucen; Salate; Gremolata,sonnig bis halbschattig,frisch,"humos, nährstoffreich, locker",mittel,mittel,25–40,zweijährig,1,Garten,petersilie,petersilie.jpg,,Anfänger,essbar,,
KR000002,Schnittlauch,Allium schoenoprasum,Amaryllidaceae,Küchenkraut,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,4,0,0,0,2,0,0,0,0,0,0,1,1,4,Kräuterquark; Schnittlauchbrot; Omelett; Dressings; Kartoffelgerichte,sonnig bis halbschattig,frisch,"humos, nährstoffreich",mittel,mittel,20–35,mehrjährig-krautig,1,Garten,schnittlauch,schnittlauch.jpg,,Anfänger,essbar,,
KR000003,Dill,Anethum graveolens,Apiaceae,Küchenkraut,,Gurkenkraut,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,4,1,0,0,0,0,1,3,0,0,0,1,0,0,Gurkensalat; Dillkartoffeln; Fischgerichte; Kräutersaucen; Einlegen,sonnig,frisch,"locker, humos, eher nährstoffreich",mittel,mittel,60–100,einjährig,1,Garten,dill,dill.jpg,,Anfänger,essbar,,
KR000004,Kerbel,Anthriscus cerefolium,Apiaceae,Küchenkraut,,Gartenkerbel,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,4,1,0,0,0,0,0,2,0,0,0,1,0,0,Frankfurter Grüne Sauce; Suppen; Eierspeisen; Kräuterbutter,halbschattig bis sonnig,frisch,"humos, locker",mittel,mittel,30–60,einjährig,1,Garten,kerbel,kerbel.jpg,,Anfänger,essbar,,
KR000005,Liebstöckel,Levisticum officinale,Apiaceae,Küchenkraut,,Maggikraut,https://powo.science.kew.org/; https://www.worldfloraonline.org/,5,2,0,0,1,1,2,0,0,0,0,1,0,1,1,Suppen; Eintöpfe; Brühen; Kräutersalz,sonnig bis halbschattig,frisch,"tiefgründig, humos, nährstoffreich",mittel,stark,100–180,mehrjährig-krautig,2,Garten,liebstoeckel,liebstoeckel.jpg,,Anfänger,essbar,,
KR000006,Koriander,Coriandrum sativum,Apiaceae,Küchenkraut,Gewürzpflanze,Blattkoriander,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,4,0,1,1,0,0,2,1,0,0,0,1,1,0,Currys; Salsas; Chutneys; Pho; Salate,sonnig bis halbschattig,frisch,"locker, humos",mittel,mittel,30–70,einjährig,1,Garten,koriander,koriander.jpg,,Anfänger,essbar,,
KR000007,Basilikum,Ocimum basilicum,Lamiaceae,Küchenkraut,,Genoveser Basilikum,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,4,1,0,0,0,0,1,1,0,0,0,2,1,0,Pesto; Tomatensalat; Pasta; Pizza; Kräuteröl,sonnig,frisch,"locker, humos, nährstoffreich",mittel,mittel,30–60,einjährig,1,Garten-frostempfindlich,basilikum,basilikum.jpg,,Fortgeschritten,essbar,,
KR000008,Thai-Basilikum,Ocimum basilicum var. thyrsiflora,Lamiaceae,Küchenkraut,,Horapa,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Thai-Curry; Pho-Kräuterteller; Wokgerichte; Sommerrollen,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten-frostempfindlich,thai-basilikum,thai-basilikum.jpg,,Fortgeschritten,essbar,,
KR000009,Zitronenbasilikum,Ocimum × africanum,Lamiaceae,Küchenkraut,,—,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Fischgerichte; Sommersalate; Kräuteröl; Obstsalate; Zitronenpesto,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten-frostempfindlich,zitronenbasilikum,zitronenbasilikum.jpg,,Fortgeschritten,essbar,,
KR000010,Heiliges Basilikum,Ocimum tenuiflorum,Lamiaceae,Küchenkraut,Teepflanze,Tulsi,https://powo.science.kew.org/; https://www.worldfloraonline.org/,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Tulsi-Tee; indische Gemüsepfannen; Linsengerichte; Chutneys,sonnig bis halbschattig,frisch,"humos, locker",mittel,mittel,20–60,einjährig,1,Garten-frostempfindlich,heiliges-basilikum,heiliges-basilikum.jpg,,Fortgeschritten,essbar,,
KR000011,Oregano,Origanum vulgare,Lamiaceae,Küchenkraut,Wildkraut,Dost,https://powo.science.kew.org/; https://www.worldfloraonline.org/,4,2,0,0,1,1,0,0,0,0,1,0,0,1,0,Pizza; Pasta; Ofengemüse; Tomatensaucen; Grillmarinaden,sonnig,trocken bis frisch,"durchlässig, eher mager",niedrig bis mittel,schwach,30–70,mehrjährig-krautig,1,Garten,oregano,oregano.jpg,,Anfänger,essbar,,
KR000012,Majoran,Origanum majorana,Lamiaceae,Küchenkraut,,Wurstkraut,https://powo.science.kew.org/; https://www.worldfloraonline.org/,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Bratkartoffeln; Würste; Eintöpfe; Bohnengerichte,sonnig,frisch,"durchlässig, humos",mittel,schwach bis mittel,20–50,einjährig,1,Garten,majoran,majoran.jpg,,Anfänger,essbar,,
